,MedHouseVal
337,1.139
338,1.613
339,1.038
340,2.031
341,2.26
342,5.00001
343,3.5
344,0.774
345,1.2
346,2.994
347,2.516
348,0.74
349,0.838
350,2.327
351,1.907
352,3.357
353,2.153
354,1.906
355,1.426
356,0.539
357,1.102
358,0.44
359,1.848
360,1.857
361,1.764
362,2.394
363,4.85
364,0.725
365,2.209
366,0.993
367,5.00001
368,0.62
369,2.762
370,1.844
371,2.286
372,2.674
373,1.551
374,0.418
375,4.103
376,2.226
377,1.262
378,3.144
379,1.595
380,0.688
381,3.178
382,0.883
383,2.656
384,3.864
385,2.616
386,1.089
387,2.89
388,1.862
389,1.688
390,2.4
391,2.38
392,1.706
393,0.986
394,0.544
395,2.248
396,1.875
397,2.342
398,2.219
399,1.118
400,0.945
401,2.759
402,2.254
403,0.575
404,1.5
405,0.668
406,1.53
407,2.182
408,0.541
409,2.197
410,1.516
411,1.022
412,3.412
413,1.703
414,5.00001
415,2.689
416,0.917
417,1.519
418,2.15
419,0.935
420,1.364
421,1.75
422,1.489
423,0.632
424,1.875
425,0.717
426,0.927
427,4.0
428,0.964
429,1.551
430,1.344
431,2.128
432,5.00001
433,0.788
434,1.213
435,1.295
436,1.938
437,2.491
438,1.569
439,1.075
440,0.552
441,3.047
442,2.156
443,1.375
444,1.56
445,1.642
446,1.115
447,3.194
448,1.063
449,1.303
450,0.798
451,1.808
452,3.905
453,2.051
454,1.9
455,2.714
456,4.067
457,3.111
458,1.668
459,5.00001
460,0.824
461,1.096
462,1.629
463,1.708
464,2.63
465,3.576
466,2.31
467,1.695
468,1.65
469,2.356
470,0.858
471,0.944
472,3.45
473,1.425
474,1.938
475,2.856
476,2.194
477,2.299
478,1.55
479,1.438
480,3.617
481,2.52
482,2.042
483,4.364
484,0.905
485,4.111
486,0.821
487,2.912
488,0.603
489,1.841
490,1.008
491,1.875
492,3.724
493,2.996
494,2.826
495,2.523
496,2.488
497,1.283
498,2.535
499,2.006
500,1.833
501,2.288
502,0.625
503,2.008
504,3.038
505,0.866
506,2.803
507,1.398
508,2.532
509,1.125
510,3.273
511,2.656
512,1.94
513,1.427
514,1.378
515,1.502
516,2.148
517,0.92
518,3.781
519,1.125
520,2.5
521,3.5
522,4.15
523,0.57
524,2.375
525,1.73
526,1.08
527,1.1
528,2.121
529,4.371
530,1.571
531,1.839
532,1.226
533,5.00001
534,4.771
535,0.587
536,1.2
537,2.411
538,1.212
539,0.894
540,3.673
541,1.542
542,1.019
543,1.875
544,1.057
545,0.275
546,1.768
547,4.785
548,2.346
549,1.5
550,2.213
551,4.947
552,3.59
553,1.016
554,1.891
555,1.583
556,3.667
557,1.516
558,0.947
559,1.632
560,1.31
561,5.00001
562,0.787
563,0.853
564,4.758
565,0.909
566,1.452
567,2.75
568,1.693
569,0.621
570,1.73
571,2.285
572,0.521
573,0.682
574,2.829
575,2.646
576,2.813
577,1.833
578,5.00001
579,3.75
580,0.656
581,3.574
582,0.909
583,1.693
584,2.365
585,3.098
586,2.156
587,1.368
588,2.7
589,2.708
590,2.231
591,0.731
592,1.792
593,1.025
594,0.795
595,1.494
596,2.21
597,1.458
598,0.55
599,1.625
600,0.817
601,2.201
602,0.733
603,4.7
604,2.551
605,2.137
606,3.509
607,4.699
608,0.978
609,1.414
610,0.675
611,5.00001
612,1.069
613,3.292
614,1.111
615,4.233
616,1.926
617,1.909
618,2.081
619,1.139
620,1.872
621,2.107
622,2.422
623,0.561
624,0.991
625,2.759
626,1.016
627,3.139
628,1.763
629,3.107
630,4.047
631,1.033
632,2.917
633,2.712
634,1.923
635,2.184
636,0.629
637,2.78
638,1.423
639,3.743
640,2.401
641,1.428
642,1.875
643,2.531
644,2.432
645,1.271
646,1.875
647,2.907
648,2.399
649,0.905
650,1.754
651,3.4
652,2.72
653,2.638
654,5.00001
655,0.591
656,0.65
657,0.892
658,0.804
659,1.919
660,1.296
661,1.394
662,4.5
663,0.574
664,3.024
665,1.754
666,2.45
667,1.44
668,2.835
669,1.844
670,1.969
671,1.792
672,1.48
673,3.458
674,1.444
675,1.306
676,1.966
677,0.977
678,2.88
679,1.581
680,1.207
681,0.808
682,1.758
683,1.441
684,1.005
685,1.809
686,4.705
687,5.00001
688,1.125
689,0.906
690,2.441
691,0.516
692,2.292
693,2.625
694,1.801
695,1.376
696,2.766
697,3.278
698,5.00001
699,5.00001
700,0.694
701,2.184
702,3.201
703,3.731
704,2.618
705,0.924
706,1.232
707,1.727
708,1.301
709,3.694
710,1.946
711,2.825
712,1.6
713,1.7
714,1.919
715,0.266
716,2.282
717,1.074
718,3.235
719,1.243
720,3.5
721,0.792
722,0.784
723,1.015
724,1.07
725,1.627
726,3.398
727,2.133
728,1.268
729,4.583
730,0.56
731,1.766
732,1.125
733,2.695
734,3.351
735,1.957
736,1.106
737,0.967
738,1.483
739,2.089
740,1.375
741,0.982
742,1.72
743,2.519
744,5.00001
745,0.511
746,1.071
747,0.749
748,2.309
749,1.036
750,4.367
751,1.984
752,3.35
753,5.00001
754,3.371
755,3.292
756,2.012
757,2.051
758,2.33
759,5.00001
760,1.76
761,2.032
762,1.201
763,2.94
764,2.736
765,1.208
766,1.688
767,1.572
768,4.054
769,1.213
770,4.019
771,5.00001
772,1.167
773,1.396
774,5.00001
775,0.855
776,2.182
777,1.805
778,1.717
779,1.388
780,2.017
781,1.613
782,2.202
783,0.969
784,2.265
785,3.5
786,3.541
787,2.374
788,1.04
789,2.211
790,0.479
791,2.715
792,0.904
793,0.849
794,1.941
795,1.853
796,1.648
797,5.0
798,1.88
799,1.135
800,2.345
801,1.403
802,1.308
803,1.521
804,2.179
805,1.992
806,2.746
807,1.238
808,1.358
809,2.374
810,0.638
811,0.463
812,1.576
813,2.058
814,2.277
815,2.948
816,0.45
817,0.658
818,1.339
819,1.719
820,3.94
821,2.217
822,2.355
823,2.897
824,1.815
825,1.781
826,2.167
827,2.476
828,1.645
829,1.525
830,1.906
831,2.137
832,1.984
833,4.955
834,2.958
835,1.25
836,0.968
837,0.576
838,3.615
839,3.374
840,5.00001
841,0.887
842,2.858
843,4.388
844,1.85
845,3.535
846,1.112
847,2.432
848,3.591
849,2.21
850,3.821
851,1.813
852,3.467
853,3.192
854,0.961
855,3.409
856,2.865
857,0.957
858,2.148
859,2.854
860,4.301
861,1.448
862,5.00001
863,2.375
864,2.429
865,0.694
866,0.926
867,2.195
868,1.156
869,1.589
870,1.347
871,2.11
872,1.03
873,0.903
874,0.775
875,1.069
876,1.535
877,2.027
878,3.333
879,3.875
880,1.375
881,2.417
882,2.4
883,1.433
884,5.00001
885,4.392
886,2.438
887,0.597
888,2.273
889,1.953
890,2.775
891,3.068
892,0.517
893,1.813
894,5.00001
895,1.25
896,1.102
897,1.633
898,1.694
899,1.166
900,1.316
901,1.059
902,4.85
903,5.00001
904,2.346
905,1.689
906,1.095
907,2.921
908,1.049
909,2.284
910,0.794
911,3.909
912,1.836
913,1.807
914,1.375
915,1.964
916,1.692
917,2.119
918,2.375
919,0.58
920,1.844
921,1.645
922,5.00001
923,0.644
924,2.785
925,2.49
926,0.914
927,1.878
928,0.475
929,2.521
930,5.00001
931,2.604
932,0.72
933,5.00001
934,2.23
935,3.133
936,4.96
937,1.028
938,4.526
939,2.083
940,3.75
941,1.18
942,0.628
943,1.547
944,2.333
945,1.625
946,2.376
947,1.385
948,3.037
949,3.407
950,4.137
951,2.524
952,1.75
953,1.647
954,1.089
955,0.692
956,1.313
957,2.883
958,1.735
959,1.452
960,1.964
961,2.636
962,3.125
963,1.825
964,1.646
965,1.009
966,2.62
967,1.142
968,2.858
969,2.949
970,0.875
971,2.487
972,0.55
973,0.84
974,2.122
975,2.539
976,2.818
977,0.811
978,1.568
979,2.102
980,3.3
981,1.6
982,4.054
983,0.844
984,1.21
985,0.85
986,1.039
987,1.388
988,5.00001
989,2.75
990,2.178
991,1.414
992,1.29
993,1.693
994,5.00001
995,1.588
996,4.102
997,0.821
998,0.788
999,1.188
1000,2.345
1001,1.694
1002,1.155
1003,0.985
1004,3.556
1005,1.375
1006,1.952
1007,1.667
1008,0.926
1009,1.346
1010,2.188
1011,2.38
1012,3.029
1013,5.00001
1014,3.919
1015,2.205
1016,5.00001
1017,2.312
1018,1.997
1019,2.06
1020,5.00001
1021,1.509
1022,1.25
1023,1.107
1024,2.061
1025,3.861
1026,3.647
1027,2.875
1028,1.014
1029,2.954
1030,0.82
1031,1.375
1032,1.038
1033,2.188
1034,4.0
1035,2.267
1036,5.00001
1037,2.583
1038,2.352
1039,2.424
1040,1.375
1041,1.958
1042,0.498
1043,3.877
1044,1.625
1045,1.588
1046,0.976
1047,2.0
1048,1.338
1049,2.75
1050,2.184
1051,0.955
1052,3.43
1053,5.00001
1054,1.09
1055,5.00001
1056,2.375
1057,2.838
1058,2.798
1059,2.057
1060,0.677
1061,0.875
1062,2.071
1063,0.685
1064,2.846
1065,3.674
1066,2.655
1067,2.411
1068,5.00001
1069,1.625
1070,0.987
1071,1.992
1072,1.063
1073,3.0
1074,3.296
1075,2.646
1076,1.5
1077,2.594
1078,0.906
1079,1.319
1080,3.625
1081,5.00001
1082,4.097
1083,1.875
1084,2.147
1085,3.8
1086,1.338
1087,2.25
1088,1.402
1089,5.00001
1090,1.417
1091,3.993
1092,1.209
1093,1.163
1094,2.557
1095,1.03
1096,5.00001
1097,2.124
1098,1.527
1099,1.618
1100,0.734
1101,2.015
1102,1.529
1103,1.92
1104,1.613
1105,4.521
1106,5.00001
1107,2.75
1108,4.635
1109,1.589
1110,2.028
1111,2.01
1112,5.00001
1113,1.347
1114,2.866
1115,2.615
1116,2.521
1117,2.33
1118,1.055
1119,0.821
1120,1.345
1121,3.5
1122,4.46
1123,5.00001
1124,0.517
1125,4.508
1126,2.731
1127,3.238
1128,1.762
1129,1.543
1130,0.912
1131,1.132
1132,2.179
1133,1.627
1134,3.085
1135,1.052
1136,4.286
1137,0.917
1138,2.015
1139,0.898
1140,1.846
1141,1.649
1142,0.923
1143,2.444
1144,4.237
1145,4.534
1146,1.141
1147,3.616
1148,1.927
1149,1.529
1150,0.529
1151,1.368
1152,2.976
1153,3.056
1154,1.518
1155,2.614
1156,2.103
1157,4.007
1158,0.175
1159,1.201
1160,4.474
1161,2.129
1162,2.979
1163,1.025
1164,0.853
1165,5.00001
1166,1.375
1167,1.641
1168,0.675
1169,0.5
1170,1.827
1171,1.417
1172,1.431
1173,1.161
1174,2.696
1175,0.732
1176,3.625
1177,0.688
1178,2.031
1179,1.188
1180,2.397
1181,1.082
1182,1.125
1183,3.798
1184,2.238
1185,3.266
1186,0.62
1187,2.819
1188,2.259
1189,1.142
1190,1.079
1191,1.0
1192,1.934
1193,1.843
1194,1.5
1195,2.528
1196,1.854
1197,5.00001
1198,4.065
1199,0.53
1200,1.91
1201,2.045
1202,1.391
1203,0.684
1204,3.5
1205,0.526
1206,2.671
1207,1.159
1208,1.286
1209,2.81
1210,2.209
1211,1.554
1212,0.727
1213,0.887
1214,1.464
1215,1.075
1216,0.49
1217,0.698
1218,1.897
1219,1.293
1220,1.513
1221,2.355
1222,0.575
1223,1.601
1224,1.449
1225,1.271
1226,1.75
1227,2.847
1228,1.183
1229,1.955
1230,1.911
1231,3.211
1232,1.918
1233,1.873
1234,1.055
1235,1.021
1236,5.00001
1237,4.5
1238,0.985
1239,1.844
1240,1.775
1241,3.058
1242,1.583
1243,1.468
1244,2.305
1245,2.398
1246,1.017
1247,1.894
1248,2.004
1249,0.584
1250,3.538
1251,0.771
1252,2.25
1253,1.875
1254,5.00001
1255,2.94
1256,2.322
1257,2.618
1258,1.655
1259,0.614
1260,2.326
1261,1.543
1262,0.635
1263,2.254
1264,0.607
1265,2.027
1266,1.441
1267,2.304
1268,2.38
1269,1.274
1270,3.355
1271,0.825
1272,1.021
1273,2.927
1274,2.531
1275,1.507
1276,2.156
1277,1.101
1278,1.411
1279,2.203
1280,1.172
1281,2.685
1282,2.329
1283,3.75
1284,1.748
1285,2.688
1286,1.121
1287,1.0
1288,3.567
1289,0.615
1290,0.744
1291,1.779
1292,1.606
1293,3.94
1294,0.967
1295,2.387
1296,3.249
1297,3.659
1298,3.117
1299,1.043
1300,3.338
1301,2.062
1302,1.871
1303,0.919
1304,3.25
1305,0.73
1306,1.583
1307,2.808
1308,3.273
1309,3.432
1310,1.345
1311,2.691
1312,2.885
1313,2.983
1314,2.356
1315,1.093
1316,2.456
1317,1.861
1318,3.887
1319,2.07
1320,1.444
1321,3.667
1322,1.745
1323,2.5
1324,1.275
1325,1.25
1326,2.567
1327,3.148
1328,0.455
1329,5.00001
1330,5.00001
1331,4.65
1332,2.421
1333,1.702
1334,1.479
1335,4.531
1336,2.167
1337,2.133
1338,2.737
1339,1.705
1340,1.315
1341,0.903
1342,0.533
1343,1.375
1344,1.151
1345,2.313
1346,1.083
1347,0.708
1348,1.417
1349,5.00001
1350,1.736
1351,2.872
1352,2.283
1353,2.313
1354,1.62
1355,3.183
1356,2.087
1357,1.366
1358,0.546
1359,0.985
1360,1.234
1361,4.676
1362,2.377
1363,0.948
1364,1.409
1365,2.321
1366,3.408
1367,3.018
1368,1.178
1369,0.269
1370,2.361
1371,4.427
1372,1.669
1373,5.00001
1374,1.18
1375,2.275
1376,3.029
1377,1.076
1378,1.286
1379,0.858
1380,1.918
1381,4.41
1382,1.602
1383,4.107
1384,3.02
1385,1.49
1386,2.74
1387,1.403
1388,1.958
1389,1.047
1390,1.65
1391,0.852
1392,2.788
1393,1.692
1394,1.0
1395,0.928
1396,1.617
1397,1.653
1398,2.649
1399,0.871
1400,3.5
1401,1.125
1402,2.484
1403,2.86
1404,2.25
1405,2.018
1406,0.728
1407,1.337
1408,2.13
1409,1.833
1410,2.135
1411,1.291
1412,1.84
1413,3.341
1414,1.153
1415,0.683
1416,5.00001
1417,1.625
1418,5.00001
1419,1.924
1420,4.468
1421,1.641
1422,1.938
1423,1.293
1424,4.222
1425,1.589
1426,2.733
1427,0.883
1428,3.565
1429,4.922
1430,2.621
1431,0.784
1432,2.542
1433,1.655
1434,0.488
1435,2.913
1436,2.696
1437,5.00001
1438,5.00001
1439,1.083
1440,1.856
1441,3.294
1442,1.568
1443,1.701
1444,1.734
1445,2.046
1446,1.521
1447,2.069
1448,3.518
1449,5.00001
1450,1.011
1451,1.428
1452,0.67
1453,1.135
1454,2.113
1455,1.223
1456,2.05
1457,1.982
1458,0.718
1459,5.00001
1460,4.268
1461,0.725
1462,0.623
1463,3.331
1464,0.75
1465,1.828
1466,3.058
1467,2.236
1468,2.1
1469,5.00001
1470,1.955
1471,4.158
1472,5.00001
1473,2.317
1474,2.15
1475,1.345
1476,4.007
1477,0.75
1478,1.821
1479,2.47
1480,0.768
1481,2.252
1482,5.00001
1483,0.724
1484,1.505
1485,4.05
1486,2.09
1487,2.718
1488,1.625
1489,1.58
1490,1.468
1491,1.706
1492,0.833
1493,1.094
1494,3.453
1495,1.608
1496,1.849
1497,3.72
1498,2.409
1499,2.444
1500,1.235
1501,1.668
1502,0.911
1503,2.195
1504,2.009
1505,0.946
1506,1.792
1507,0.581
1508,0.906
1509,2.658
1510,1.085
1511,0.525
1512,0.664
1513,3.02
1514,2.416
1515,1.892
1516,2.438
1517,0.54
1518,5.00001
1519,5.00001
1520,0.928
1521,3.425
1522,5.00001
1523,1.615
1524,2.894
1525,1.708
1526,1.167
1527,2.232
1528,0.675
1529,1.044
1530,1.148
1531,0.955
1532,0.84
1533,2.189
1534,0.893
1535,1.58
1536,2.313
1537,5.00001
1538,1.556
1539,1.75
1540,1.114
1541,1.724
1542,2.713
1543,2.531
1544,1.39
1545,1.261
1546,0.599
1547,5.00001
1548,1.25
1549,1.11
1550,3.922
1551,1.188
1552,2.605
1553,1.74
1554,4.5
1555,1.865
1556,2.356
1557,0.699
1558,1.042
1559,0.609
1560,2.708
1561,2.784
1562,4.0
1563,1.181
1564,0.604
1565,3.423
1566,2.639
1567,1.86
1568,3.346
1569,1.742
1570,0.943
1571,2.525
1572,1.073
1573,1.726
1574,1.583
1575,1.514
1576,1.519
1577,3.568
1578,1.465
1579,2.509
1580,1.512
1581,2.158
1582,1.75
1583,1.724
1584,1.911
1585,1.375
1586,1.013
1587,2.616
1588,1.119
1589,3.951
1590,2.056
1591,4.667
1592,2.5
1593,2.055
1594,3.889
1595,1.054
1596,1.734
1597,1.31
1598,0.69
1599,2.542
1600,0.604
1601,0.478
1602,2.282
1603,1.788
1604,2.081
1605,1.092
1606,3.797
1607,1.417
1608,0.849
1609,2.098
1610,0.876
1611,5.00001
1612,2.725
1613,2.063
1614,1.9
1615,2.444
1616,1.453
1617,2.708
1618,0.951
1619,1.938
1620,5.00001
1621,1.664
1622,2.522
1623,5.00001
1624,0.845
1625,0.973
1626,1.151
1627,3.137
1628,0.587
1629,2.308
1630,2.183
1631,2.354
1632,3.045
1633,1.115
1634,1.3
1635,2.302
1636,1.644
1637,0.675
1638,2.431
1639,1.224
1640,0.633
1641,1.356
1642,2.75
1643,1.925
1644,1.923
1645,1.627
1646,0.478
1647,0.918
1648,0.755
1649,1.952
1650,0.999
1651,1.117
1652,2.182
1653,1.927
1654,1.804
1655,0.962
1656,0.762
1657,1.819
1658,1.33
1659,1.456
1660,0.526
1661,1.805
1662,0.928
1663,2.75
1664,1.515
1665,0.974
1666,1.489
1667,0.978
1668,1.39
1669,2.343
1670,4.197
1671,4.143
1672,1.625
1673,2.535
1674,1.452
1675,1.345
1676,1.875
1677,2.667
1678,3.522
1679,1.353
1680,1.408
1681,3.489
1682,3.454
1683,3.516
1684,1.313
1685,1.451
1686,4.847
1687,2.138
1688,0.81
1689,0.552
1690,1.819
1691,1.563
1692,0.617
1693,1.833
1694,1.86
1695,1.114
1696,3.336
1697,0.648
1698,2.346
1699,2.139
1700,0.6
1701,0.927
1702,3.067
1703,2.487
1704,3.659
1705,1.717
1706,1.917
1707,1.497
1708,1.548
1709,1.396
1710,4.258
1711,3.141
1712,0.824
1713,5.00001
1714,5.00001
1715,2.341
1716,2.279
1717,2.271
1718,0.714
1719,0.625
1720,2.125
1721,2.146
1722,1.03
1723,1.695
1724,0.675
1725,3.405
1726,2.879
1727,0.87
1728,1.008
1729,0.856
1730,1.133
1731,0.544
1732,0.76
1733,2.642
1734,1.229
1735,0.701
1736,3.658
1737,1.487
1738,1.313
1739,1.48
1740,1.375
1741,1.217
1742,0.61
1743,1.042
1744,2.519
1745,1.993
1746,2.535
1747,1.875
1748,3.209
1749,2.379
1750,3.955
1751,0.534
1752,3.43
1753,0.776
1754,1.188
1755,1.907
1756,2.25
1757,1.785
1758,2.482
1759,0.902
1760,1.229
1761,1.429
1762,1.592
1763,3.387
1764,1.375
1765,0.699
1766,1.719
1767,1.196
1768,5.00001
1769,1.072
1770,1.555
1771,1.341
1772,1.375
1773,1.138
1774,0.704
1775,2.313
1776,2.625
1777,1.265
1778,1.653
1779,1.297
1780,1.693
1781,1.115
1782,2.298
1783,2.206
1784,1.917
1785,1.754
1786,2.221
1787,0.961
1788,1.667
1789,4.0
1790,2.387
1791,1.201
1792,0.974
1793,1.142
1794,1.488
1795,2.075
1796,2.052
1797,1.263
1798,1.535
1799,2.611
1800,0.875
1801,1.922
1802,2.707
1803,4.176
1804,1.35
1805,0.684
1806,0.57
1807,2.007
1808,0.451
1809,5.00001
1810,0.942
1811,2.705
1812,1.031
1813,0.681
1814,1.538
1815,1.836
1816,2.089
1817,0.604
1818,1.938
1819,1.623
1820,3.5
1821,0.663
1822,1.538
1823,0.979
1824,3.625
1825,1.25
1826,1.527
1827,1.663
1828,2.166
1829,2.247
1830,4.466
1831,3.625
1832,1.752
1833,0.6
1834,2.763
1835,0.533
1836,0.748
1837,3.938
1838,1.106
1839,1.821
1840,3.044
1841,1.488
1842,2.175
1843,2.823
1844,4.255
1845,2.161
1846,1.472
1847,0.66
1848,1.476
1849,1.972
1850,1.185
1851,1.575
1852,2.179
1853,1.981
1854,1.283
1855,2.021
1856,0.896
1857,1.307
1858,5.00001
1859,2.406
1860,2.701
1861,2.279
1862,3.734
1863,1.318
1864,0.88
1865,1.359
1866,4.184
1867,3.353
1868,1.161
1869,5.00001
1870,1.75
1871,2.638
1872,0.512
1873,2.75
1874,1.739
1875,0.571
1876,1.692
1877,2.132
1878,1.344
1879,2.146
1880,1.769
1881,1.775
1882,1.839
1883,1.925
1884,3.027
1885,1.438
1886,4.314
1887,1.758
1888,1.694
1889,1.469
1890,1.4
1891,2.723
1892,1.503
1893,1.916
1894,3.06
1895,2.041
1896,1.959
1897,0.635
1898,0.939
1899,5.00001
1900,1.974
1901,3.229
1902,0.486
1903,2.067
1904,1.6
1905,1.819
1906,3.265
1907,0.561
1908,4.457
1909,0.87
1910,2.877
1911,2.64
1912,1.857
1913,0.56
1914,1.018
1915,5.00001
1916,3.57
1917,1.114
1918,2.121
1919,1.606
1920,0.806
1921,0.933
1922,2.56
1923,3.539
1924,1.2
1925,5.00001
1926,1.482
1927,3.025
1928,0.938
1929,5.00001
1930,1.785
1931,1.656
1932,2.848
1933,4.125
1934,2.673
1935,3.448
1936,1.88
1937,0.875
1938,1.532
1939,0.658
1940,1.076
1941,0.875
1942,1.1
1943,1.842
1944,1.113
1945,0.879
1946,3.766
1947,2.296
1948,1.272
1949,1.475
1950,5.00001
1951,0.851
1952,2.778
1953,1.921
1954,3.408
1955,2.22
1956,5.00001
1957,2.0
1958,2.534
1959,2.78
1960,1.923
1961,5.00001
1962,1.137
1963,1.935
1964,2.567
1965,1.582
1966,1.641
1967,0.766
1968,1.283
1969,0.524
1970,0.895
1971,3.975
1972,3.667
1973,2.875
1974,2.436
1975,2.33
1976,1.447
1977,0.73
1978,2.417
1979,0.675
1980,1.703
1981,4.513
1982,1.845
1983,1.922
1984,3.663
1985,2.801
1986,1.729
1987,0.87
1988,3.487
1989,1.548
1990,2.278
1991,3.494
1992,0.808
1993,1.573
1994,1.188
1995,3.125
1996,2.228
1997,1.494
1998,0.62
1999,0.609
2000,1.845
2001,4.3
2002,3.218
2003,0.762
2004,1.075
2005,1.14
2006,0.662
2007,2.269
2008,2.451
2009,3.05
2010,1.558
2011,1.813
2012,4.716
2013,1.205
2014,0.97
2015,1.12
2016,1.341
2017,2.742
2018,1.332
2019,1.396
2020,1.002
2021,1.258
2022,1.685
2023,1.602
2024,1.231
2025,2.925
2026,3.72
2027,2.176
2028,1.557
2029,2.014
2030,2.386
2031,5.00001
2032,5.00001
2033,1.818
2034,0.536
2035,4.232
2036,1.133
2037,1.637
2038,0.71
2039,3.997
2040,1.696
2041,2.485
2042,2.621
2043,1.737
2044,1.875
2045,3.324
2046,5.00001
2047,1.567
2048,1.64
2049,1.218
2050,1.373
2051,1.531
2052,1.464
2053,1.33
2054,0.897
2055,2.004
2056,2.438
2057,5.00001
2058,0.847
2059,0.984
2060,3.5
2061,1.442
2062,1.2
2063,2.178
2064,2.724
2065,1.546
2066,1.554
2067,1.507
2068,1.487
2069,2.489
2070,5.00001
2071,1.485
2072,1.25
2073,0.75
2074,1.3
2075,1.081
2076,2.102
2077,1.139
2078,2.444
2079,1.505
2080,1.529
2081,1.961
2082,1.704
2083,2.607
2084,2.545
2085,0.664
2086,2.819
2087,0.907
2088,5.00001
2089,3.585
2090,2.043
2091,1.426
2092,0.668
2093,0.913
2094,3.362
2095,2.5
2096,3.75
2097,1.81
2098,2.408
2099,1.043
2100,1.392
2101,2.0
2102,0.544
2103,1.784
2104,2.919
2105,2.755
2106,2.25
2107,2.547
2108,5.0
2109,1.316
2110,2.879
2111,1.188
2112,1.005
2113,2.521
2114,0.668
2115,0.923
2116,0.998
2117,0.883
2118,3.482
2119,2.561
2120,1.511
2121,1.464
2122,1.618
2123,1.41
2124,2.047
